name,name_lc,wikidata,start_date,term,gender
GELMINI Mariastella,gelmini mariastella,Q466712,2013-03-15,17,female
GENOVESE Francantonio,genovese francantonio,Q3749320,2015-12-22,17,male
GENTILONI SILVERI Paolo,gentiloni silveri paolo,Q1071031,2013-03-15,17,male
GHIZZONI Manuela,ghizzoni manuela,Q3845082,2013-03-15,17,female
GIACHETTI Roberto,giachetti roberto,Q3938844,2013-03-15,17,male
GIACOBBE Anna,giacobbe anna,Q16526928,2013-03-15,17,female
GIACOMELLI Antonello,giacomelli antonello,Q3618960,2013-03-15,17,male
GIACOMONI Sestino,giacomoni sestino,Q3958201,2013-03-15,17,male
GIAMMANCO Gabriella,giammanco gabriella,Q3756747,2013-03-15,17,female
GIGLI Gian Luigi,gigli gian luigi,Q16559106,2013-12-10,17,male
GINATO Federico,ginato federico,Q15936356,2013-03-15,17,male
GINEFRA Dario,ginefra dario,Q3702604,2013-03-15,17,male
GINOBLE Tommaso,ginoble tommaso,Q3992773,2013-03-15,17,male
GIORDANO Giancarlo,giordano giancarlo,Q13400951,2013-03-15,17,male
GIORDANO Silvia,giordano silvia,Q15623365,2013-03-15,17,female
GIORGETTI Alberto,giorgetti alberto,Q3608341,2014-03-13,17,male
GIORGETTI Giancarlo,giorgetti giancarlo,Q659163,2013-03-15,17,male
GIORGIS Andrea,giorgis andrea,Q16526279,2013-03-15,17,male
GITTI Gregorio,gitti gregorio,Q16561995,2014-10-02,17,male
GIULIANI Fabrizia,giuliani fabrizia,Q15936496,2013-03-15,17,female
GIULIETTI Giampiero,giulietti giampiero,Q16559065,2013-03-15,17,male
GNECCHI Marialuisa,gnecchi marialuisa,Q1876572,2013-03-15,17,female
GOZI Sandro,gozi sandro,Q3948237,2013-03-15,17,male
GRANDE Marta,grande marta,Q8915317,2013-03-15,17,female
GRASSI Gero,grassi gero,Q15917017,2013-03-15,17,male
GRECO Maria Gaetana,greco maria gaetana,Q15143068,2013-03-15,17,female
GREGORI Monica,gregori monica,Q15220382,2015-11-06,17,female
GRIBAUDO Chiara,gribaudo chiara,Q16539637,2013-03-15,17,female
GRILLO Giulia,grillo giulia,Q16560401,2013-03-15,17,female
GRIMOLDI Paolo,grimoldi paolo,Q3894136,2013-03-15,17,male
GUERINI Giuseppe,guerini giuseppe,Q16560831,2013-03-15,17,male
GUERINI Lorenzo,guerini lorenzo,Q3836978,2013-03-15,17,male
GUERRA Mauro,guerra mauro,Q3852840,2013-03-15,17,male
GUIDESI Guido,guidesi guido,Q15886086,2013-06-06,17,male
GULLO Maria Tindara,gullo maria tindara,Q15143124,2015-12-15,17,female
GUTGELD Itzhak Yoram,gutgeld itzhak yoram,Q19663201,2013-03-15,17,male
IACONO Maria,iacono maria,Q15143083,2013-03-15,17,female
IANNUZZI Cristian,iannuzzi cristian,Q15967959,2015-01-09,17,male
IANNUZZI Tino,iannuzzi tino,Q15649684,2013-03-15,17,male
IMPEGNO Leonardo,impegno leonardo,Q16571993,2013-03-15,17,male
INCERTI Antonella,incerti antonella,Q16268453,2013-03-15,17,female
INVERNIZZI Cristian,invernizzi cristian,Q15967961,2013-03-15,17,male
IORI Vanna,iori vanna,Q16268455,2013-03-15,17,female
KRONBICHLER Florian,kronbichler florian,Q5384798,2013-03-15,17,male
L'ABBATE Giuseppe,l'abbate giuseppe,Q16560837,2013-03-15,17,male
LA MARCA Francesca,la marca francesca,Q15926449,2013-03-15,17,female
LA RUSSA Ignazio,la russa ignazio,Q1394411,2013-04-03,17,male
LABRIOLA Vincenza,labriola vincenza,Q15711017,2014-11-17,17,female
LACQUANITI Luigi,lacquaniti luigi,Q15138241,2014-11-17,17,male
LAFFRANCO Pietro,laffranco pietro,Q3903981,2013-03-15,17,male
LAFORGIA Francesco,laforgia francesco,Q13629087,2013-03-15,17,male
LAINATI Giorgio,lainati giorgio,Q3765539,2016-10-13,17,male
LATRONICO Cosimo,latronico cosimo,Q3695123,2015-11-19,17,male
LATTUCA Enzo,lattuca enzo,Q8220408,2013-03-15,17,male
LAURICELLA Giuseppe,lauricella giuseppe,Q16560843,2013-03-15,17,male
LAVAGNO Fabio,lavagno fabio,Q15936514,2014-11-17,17,male
LENZI Donata,lenzi donata,Q3713683,2013-03-15,17,female
LEVA Danilo,leva danilo,Q15972656,2013-03-15,17,male
LIBRANDI Gianfranco,librandi gianfranco,Q15888133,2013-03-15,17,male
LIUZZI Mirella,liuzzi mirella,Q15220379,2013-03-15,17,female
LO MONTE Carmelo,lo monte carmelo,Q3660245,2015-12-02,17,male
LOCATELLI Pia Elda,locatelli pia elda,Q2246893,2013-06-11,17,female
LODOLINI Emanuele,lodolini emanuele,Q15944970,2013-03-15,17,male
LOMBARDI Roberta,lombardi roberta,Q6508991,2013-03-15,17,female
LONGO Piero,longo piero,Q3903281,2013-03-15,17,male
LOREFICE Marialucia,lorefice marialucia,Q15144066,2013-03-15,17,female
LORENZIN Beatrice,lorenzin beatrice,Q3637263,2013-11-18,17,female
LOSACCO Alberto,losacco alberto,Q3608386,2013-03-15,17,male
LOTTI Luca,lotti luca,Q15117583,2013-03-15,17,male
LUPI Maurizio,lupi maurizio,Q3852636,2013-11-18,17,male
LUPO Loredana,lupo loredana,Q16658041,2013-03-15,17,female
MADIA Maria Anna,madia maria anna,Q3847714,2013-03-15,17,female
MAESTRI Andrea,maestri andrea,Q23047395,2015-11-17,17,male
MAESTRI Patrizia,maestri patrizia,Q15303867,2013-03-15,17,female
MAGORNO Ernesto,magorno ernesto,Q16554349,2013-03-15,17,male
MAIETTA Pasquale,maietta pasquale,Q15303116,2013-04-03,17,male
MALISANI Gianna,malisani gianna,Q15888157,2013-03-15,17,female
